Step,Body,PosX,PosY,VelX,VelY
23000,2,-0.126717,-0.991026,29.5627,-3.79503
23000,3,4.81693,1.95992,-4.92075,12.1072
23000,4,19.1916,1.04499,-0.369802,6.78998
24000,0,0,0,0,0
24000,1,-0.0111902,0.716533,-35.1771,-0.717214
24000,2,0.0720988,-0.996593,29.7259,2.13442
24000,3,4.78336,2.04057,-5.1232,12.0229
24000,4,19.189,1.09037,-0.385862,6.78909
25000,0,0,0,0,0
25000,1,-0.241523,0.673516,-33.1158,-12.0461
25000,2,0.26806,-0.962684,28.7116,7.97745
25000,3,4.74844,2.12065,-5.32421,11.9351
25000,4,19.1864,1.13575,-0.401919,6.78816
26000,0,0,0,0,0
26000,1,-0.445934,0.558271,-27.4861,-22.1302
26000,2,0.453409,-0.890652,26.561,13.5027
26000,3,4.71218,2.20013,-5.52371,11.844
26000,4,19.1837,1.18112,-0.417974,6.78719
27000,0,0,0,0,0
27000,1,-0.602306,0.382912,-18.8703,-29.8644
27000,2,0.62081,-0.783362,23.3598,18.4917
27000,3,4.6746,2.27898,-5.72165,11.7496
27000,4,19.1808,1.22649,-0.434027,6.78619
28000,0,0,0,0,0
28000,1,-0.693593,0.166192,-8.19017,-34.389
28000,2,0.763646,-0.645072,19.2355,22.7475
28000,3,4.63569,2.3572,-5.91797,11.6518
28000,4,19.1779,1.27185,-0.450077,6.78515
29000,0,0,0,0,0
29000,1,-0.709784,-0.0685161,3.39115,-35.1948
29000,2,0.876274,-0.481262,14.3515,26.1022
29000,3,4.59548,2.43475,-6.11262,11.5507
29000,4,19.1748,1.3172,-0.466124,6.78407
30000,0,0,0,0,0
30000,1,-0.649082,-0.295802,14.6033,-32.1891
30000,2,0.954248,-0.298417,8.90142,28.4239
30000,3,4.55398,2.51161,-6.30554,11.4464
30000,4,19.1716,1.36254,-0.482169,6.78295
31000,0,0,0,0,0
31000,1,-0.518126,-0.491078,24.2181,-25.7081
31000,2,0.994494,-0.103772,3.10074,29.6213
31000,3,4.51119,2.58777,-6.49668,11.3389
31000,4,19.1684,1.40788,-0.498211,6.7818
32000,0,0,0,0,0
32000,1,-0.331213,-0.633338,31.1941,-16.4748
32000,2,0.995431,0.0949761,-2.82136,29.6476
32000,3,4.46713,2.66319,-6.68598,11.2282
32000,4,19.165,1.45321,-0.514249,6.7806
33000,0,0,0,0,0
33000,1,-0.108645,-0.707455,34.7933,-5.50833
33000,2,0.957026,0.289972,-8.63108,28.5023
33000,3,4.42181,2.73787,-6.8734,11.1143
33000,4,19.1615,1.49853,-0.530285,6.77937
34000,0,0,0,0,0
34000,1,0.125584,-0.705772,34.657,5.99831
34000,2,0.880804,0.473511,-14.0992,26.2308
34000,3,4.37524,2.81178,-7.05887,10.9973
34000,4,19.1579,1.54384,-0.546318,6.7781
35000,0,0,0,0,0
35000,1,0.346438,-0.628808,30.8331,16.8148
35000,2,0.769778,0.638339,-19.0099,22.9229
35000,3,4.32744,2.88489,-7.24235,10.8772
35000,4,19.1542,1.58914,-0.562347,6.7768
36000,0,0,0,0,0
36000,1,0.53052,-0.485061,23.757,25.8048
36000,2,0.628337,0.777945,-23.1695,18.7091
36000,3,4.27842,2.95719,-7.42378,10.7541
36000,4,19.1504,1.63444,-0.578373,6.77545
37000,0,0,0,0,0
37000,1,0.658487,-0.289987,14.1944,32.0394
37000,2,0.462067,0.88681,-26.4139,13.7556
37000,3,4.2282,3.02865,-7.60311,10.6279
37000,4,19.1464,1.67973,-0.594396,6.77407
38000,0,0,0,0,0
